"bns_sections_subsections","subject","ipc_sections","summary_of_comparison"
"2(19)","Man.","10","The word “denotes” is replaced with “means” Unlike in IPC Section 10, “man”, ""woman"" are bifurcated into two subsections, 2(19), 2(35) in BNS."
"2(20)","Month, year.","49","“British calendar” is replaced by “Gregorian calendar”."
"2(21)","Movable property.","22","By removing word “corporeal” the scope is expanded."
"2(22)","Number.","9","No change."
"2(23)","Oath.","51","'Court of Justice' is changed to 'Court'."
"2(24)","Offence.","40","Word “denotes” is replaced by “means”."
"2(25)","Omission.","33","Words “Act”, “Omission” are bifurcated into two subsections 2(1), 2(25) respectively."
"2(26)","Person.","11","No change."
"2(27)","Public.","12","No change."
"2(28)","Public servant.","21","“Military, Naval” are replaced by “Army,, Navy” respectively. “Juryman” is excluded."
"2(29)","Reason to believe.","26","No change."
"2(30)","Special law.","41","The word ‘is' is replaced by 'means'."
"2(31)","Valuable security.","30","Word “denotes” replaced by “means”."
"2(32)","Vessel.","48","Word “denotes” replaced by “means”."
"2(33)","Voluntarily.","39","No change."
"2(34)","Will.","31","""A will"" is replaced by ""Will""."
"2(35)","Woman.","10","The corresponding section of the IPC contains definitions of man, woman both whereas the BNS deals with them in separate provisions 2(19), 2(35), respectively."
"2(36)","Wrongful gain.","23 Clause-1","Word ""is"" is replaced by ""means""."
"2(37)","Wrongful loss.","23 Clause-2","No change."
"2(38)","Gaining wrongfully, losing wrongfully.","23 Clause-3","No change."
"2(39)","Words, expressions used but not defined.","29A","The scope of Section 29A IPC is broadened. For words, expressions used in BNS but not defined in BNS but defined in IT Act, 2000, Bharatiya Nagarik Suraksha Sanhita, 2023 (BNSS), they shall have the meanings respectively assigned to them in that Act, Sanhita."
"3(1)","General explanations.","6","Section is included as sub-section in BNS sans heading."
"3(2)","General explanations- Sense of expression once explained.","7","No change."
"3(3)","General explanations- Property in possession of wife, clerk or servant.","27","Section is included as a sub-section in BNS sans heading. “Wife” is replaced by “Spouse”."
"3(4)","General explanations-""Words referring to acts include illegal omissions"".","32","Section is included as sub-section in BNS sans heading."
"3(5)","General explanations- Acts done by several persons in furtherance of common intention.","34","Section is included as sub-section in BNS sans heading. No other change."
"3(6)","General explanations- When such an act is criminal by reason of its being done with a criminal knowledge or intention.","35","No change."
"3(7)","General explanations- Effect caused partly by act, partly by omission.","36","No change."
"3(8)","General explanations- Co-operation by doing one of several acts constituting an offence.","37","No change."
"3(9)","General explanations- Persons concerned in Criminal act may be guilty of different offences.","38","No change."
"4","Punishments.","53","‘Community service' is added to punishments. The definition of community service is not given in BNS, but the explanation in Section 23 of the BNSS defines it as the ""work which the court may order a convert to perform as a form of punishment that benefits the community, for which he shall not be entitled to any remuneration""."
"5","Commutation of sentence.","54 , 55","In this section, a cross reference to BNSS has been made, whereas IPC does not refer to CrPC in this context."
"Explanation to section 5","Commutation of sentence.","55A","The heading is dropped as the IPC section is given as an explanation in BNS. The expression “for the purposes of this” is added."
"6","Fractions of terms of punishment.","57","Words “unless otherwise provided” are added"
"7","Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.","60","No change."
"8(1)","Amount of fine, liability in default of payment of fine, etc.","63","IPC section is included as subsection in BNS with addition of words ‘liability in default of payment of fine, etc.’ in heading."
"8(2)","Sentence of imprisonment for non-payment of fine.","64","IPC section is included as sub-section in BNS sans heading."
"8(3)","Limit to imprisonment for non-payment of fine, when imprisonment, fine awardable.","65","No change."
"8(4)","Description of imprisonment for non-payment of fine.","66","The IPC section is included as a sub-section in BNS, sans heading. “or in default of community service” is added.."
"8(5)","Imprisonment for non-payment of fine, when offence punishable with fine only.","67","IPC section is included as sub-section in BNS, sans heading. Words “or in default of community service” are added. Imprisonment, fine are increased."
"8(6)","Imprisonment to terminate on payment of fine. Termination of imprisonment on payment of proportional part of fine.","68 , 69","Heading is dropped as two sections of IPC are merged in this one sub-section of BNS."
"8(7)","Fine leviable within six years, or during imprisonment. Death not to discharge property from liability.","70","Section is included as sub-section in BNS, sans heading."
"9","Limit of punishment of offence made up of several offences.","71","No change."
"10","Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which.","72","No change."
"11","Solitary confinement.","73","Word “that is to say” is replaced with “namely”."
"12","Limit of solitary confinement.","74","No Change"
"13","Enhanced punishment for certain offences after previous conviction.","75","No changes were made except for the corresponding chapter numbers mentioned in heading are dropped in BNS."
"14","Act done by a person bound, or by mistake of fact believing himself bound, by law.","76","No change."
"15","Act of Judge when acting judicially.","77","No change."
"16","Act done pursuant to the judgment or order of Court.","78","Words 'Court of Justice' is replaced by “Court”."
"17","Act done by a person justified, or by mistake of fact believing himself justified, by law.","79","No change."
"18","Accident in doing a lawful act.","80","No change."
"19","Act likely to cause harm, but done without criminal intent,, to prevent other harm.","81","Word “steam” is excluded in illustration."
"20","Act of a child under seven years of age.","82","No change."
"21","Act of a child above seven, under twelve of immature understanding.","83","No change."
"22","Act of a person of unsound mind.","84","No change."
"23","Act of a person incapable of judgment by reason of intoxication caused against his will.","85","No change."
"24","Offence requiring a particular intent or knowledge committed by one who is intoxicated.","86","No change."
"25","Act not intended, not known to be likely to cause death or grievous hurt, done by consent.","87","No change."
"26","Act not intended to cause death, done by consent in good faith for person's benefit.","88","No change."
"27","Act done in good faith for benefit of child or person, by or by consent of guardian.","89","Words “insane person” are replaced with “person of unsound mind”."
"28","Consent known to be given under fear or misconception.","90","No change."
"29","Exclusion of acts which are offences independently of harm caused.","91","No change."
"30","Act done in good faith for benefit of a person without consent.","92","No change."
"31","Communication made in good faith.","93","No change."
"32","Act to which a person is compelled by threats.","94","No change."
"33","Act causing slight harm.","95","No change."
"34","Things done in private defence.","96","No change."
"35","Right of private defence of body, of property.","97","Paragraphs are rephrased as clauses (a), (b), (c)."
"36","Right of private defence against the act of a person of unsound mind, etc.","98","In Illustrations, words “under the influence of madness” are replaced by “a person of unsound mind”."
"37","Act against which there is no right to private defence Extent to which the right may be exercised.","99","The IPC section is reframed into two subsections,, the first paragraph is reframed as sub-section 1 with clauses (a), (b),, (c). The second paragraph is reproduced as subsection (2) sans heading."
"38","When the right of private defence of property extends to causing death.","100","First, secondly, thirdly, fourthly, fifthly, sixthly, seventhly are replaced with (a),(b),(c),(d),(e),(f),(g)."
"39","When such right extends to causing any harm other than death.","101","No change."
"40","Commencement, continuance of the right of private defence of the body.","102","No change."
"41","When the right of private defence of property extends to causing death.","103","Words “by night” are replaced by “after sunset, before sunrise”, “Mischief by fire”, replaced by “Mischief by fire or any explosive substance”."
"42","When such right extends to causing any harm other than death.","104","No change."
"43","Commencement, continuance of the right of private defence of property.","105","Words “by night” are replaced by “after sunset, before sunrise”."
"44","Right of private defence against deadly assault when there is risk of harm to innocent person.","106","No change."
"45","Abetment of a thing.","107","Words “Court of justice” are replaced with “Court”."
"46","Abettor.","108","Word “lunatic” is replaced by words “a person of unsound mind”."
"47","Abetment in India of offences outside India.","108A","Word “Goa” is replaced by “country X” in illustration."
"48","Abetment outside India for offence in India.","-","“A person abets an offence within the meaning of this Sanhita who, without, beyond India, abets the commission of any act in India which would constitute an offence if committed in India”."
"49","Punishment of abetment if act abetted is committed in consequence, where no express provision is made for its punishment.","109","No change."
"50","Punishment of abetment if person abetted does act with different intention from that of abettor.","110","No change."
"51","Liability of abettor when one act abetted, different act done.","111","No change."
"52","Abettor when liable to cumulative punishment for act abetted, for act done.","112","Words “the last preceding section” is replaced by “section 51”."
"53","Liability of abettor for an effect caused by the act abetted different from that intended by the abettor.","113","No change."
"54","Abettor present when offence committed.","114","No change."
"55","Abetment of offence punishable with death or imprisonment for life.","115","No change."
"56","Abetment of offence punishable with imprisonment.","116","The words “if offence be not committed” are excluded from the heading. The heading of paragraph 2, “If abettor or person abetted be a public servant whose duty it is to prevent offence” is excluded. The word “by” is replaced by “under”"
"57","Abetting commission of offence by the public or by more than ten persons.","117","Imprisonment is increased from three years to seven years."
"58","Concealing design to commit offence punishable with death or imprisonment for life.","118","Words “in either case” are excluded from clause (b)."
"59","Public servant concealing design to commit offence which it is his duty to prevent.","119","No change."
"60","Concealing design to commit offence punishable with imprisonment.","120","No change."
"61(1)","Criminal conspiracy definition.","120A","IPC section is included as sub-section in BNS."
"61(2)","Criminal conspiracy punishment.","120B","IPC section is included as sub-section in BNS, sans heading."
"62","Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.","511","No change."
"63","Rape definition.","375","Age of Consent: 15 years is replaced by 18 years in BNS. Exception 2 of Section 63 states that “sexual intercourse or acts by a man with his wife, the wife not being under 18 years of age, is not rape”."
"64","Punishment for rape.","376(1) , 376(2)","Word “military” is replaced with “army”."
"65(1)","Punishment for rape in certain cases - rape on a woman under sixteen years.","376(3)","No change."
"65(2)","Punishment for rape in certain cases - rape on a woman under twelve years.","376AB","Section is included as sub-section in BNS sans heading."
"66","Punishment for causing death or resulting in persistent vegetative state of victim.","376A","No change."
"67","Sexual intercourse by husband upon his wife during separation.","376B","No change."
"68","Sexual intercourse by a person in authority.","376C","No change."
"69","Sexual intercourse by employing deceitful means etc.","-","“Whoever, by deceitful means or by making promise to marry to a woman without any intention of fulfilling the same, has sexual intercourse with her, such sexual intercourse not amounting to the offence of rape, shall be punished with imprisonment of either description for a term which may extend to ten years, shall also be liable to fine. Explanation. — “deceitful means” shall include inducement for, or false promise of employment or promotion, or marrying by suppressing identity.”"
"70(1)","Gang rape.","376D","No Change except IPC section is included as subsection in BNS."
"70(2)","Gang rape on women under the age of eighteen.","376DB","In 376DB IPC, the age of the victim is 12 years,, punishment is the death penalty. In 70(2) BNS, the age of the victim is under 18 years,, punishment is the death penalty. Section is included as a sub-section in BNS, sans heading."
"71","Punishment for repeat offenders.","376E","No change."
"72","Disclosure of identity of victim of certain offences etc.","228A (1)/(2)","Word ""minor' is replaced by 'child'."
"73","Printing or publishing any matter relating to court proceedings without permission.","228A (3)","Sub-section of IPC is treated as individual section in BNS with heading."
"74","Assault or use of criminal force to woman with intent to outrage her modesty.","354","No change."
"75","Sexual harassment.","354A","No change."
"76","Assault or use of criminal force to woman with intent disrobe.","354B","Words “Any man who” is replaced by “Whoever”."
"77","Voyeurism.","354C","No change."
"78","Stalking.","354D","No change."
"79","Word, gesture or act intended to insult the modesty of a woman.","509","No change."
"80","Dowry death.","304B","No change."
"81","Cohabitation caused by man deceitfully inducing belief of lawful marriage.","493","No change."
"82(1)","Marrying again during lifetime of husband or wife.","494","IPC section is included as a sub-section."
"82(2)","Marrying again during lifetime of husband or wife with concealment of former marriage from person with whom subsequent marriage is contracted.","495","IPC section is included as sub-section in BNS sans heading. Words “defined in last preceding section” are excluded."
"83","Marriage ceremony fraudulently gone through without lawful marriage.","496","No change."
"84","Enticing or taking away or detaining with criminal intent a married Woman.","498","The words “from that man or from any person having the care of her on behalf of that man” are excluded."
"85","Husband or relative of husband of a woman subjecting her to cruelty.","498A","No change."
"86","Cruelty defined.","498A Explanation","IPC Section 498A has been bifurcated into Sections 85, 86. The IPC explanation part has been provided in Section 86 BNS under the heading Cruelty defined."
"87","Kidnapping or abducting in order to murder or for ransom, etc.","366","No change."
"88","Causing miscarriage.","312","No change."
"89","Causing miscarriage without woman’s consent.","313","In place of words “defined in last preceding section” previous section number is mentioned in BNS."
"90","Death caused by act done with intent to cause miscarriage.","314","Heading of para-2 “if act done without woman’s consent” is excluded. The words ""Where the act referred to in sub-section (1)” are added."
"91","Act done with intent to prevent child being born alive or to cause it to die after birth.","315","No change."
"92","Causing death of quick unborn child by act amounting to culpable homicide.","316","No change."
"93","Exposure, abandonment of child under twelve years, by parent or person having care of it.","317","No change."
"94","Concealment of birth by secret disposal of dead body.","318","No change."
"95","Hiring, employing or engaging a child to commit an offence.","-","“Whoever hires, employs or engages any child to commit an offence shall be punished with imprisonment of either description which shall not be less than three years but which may extend to ten years,, with fine;, if the offence be committed shall also be punished with the punishment provided for that offence as if the offence has been committed by such person himself. Explanation. —Hiring, employing, engaging or using a child for sexual exploitation or pornography is covered within the meaning of this section”."
"96","Procuration of child.","366A","Words “minor girl under the age of eighteen years” are replaced by word “child”, made gender neutral."
"97","Kidnapping or abducting child under ten years with intent to steal from its person.","369","No change."
"98","Selling minor for purposes of prostitution, etc.","372","“minor” is replaced by “child” in heading, words “any person under the age of eighteen years” are replaced by the word ""child'."
"99","Buying minor for purposes of prostitution, etc.","373","Minimum mandatory punishment is introduced as seven years,, the upper limit of imprisonment is extended up to fourteen years in BNS, in place of ten years in IPC. Words “any person under the age of eighteen years” are replaced by the word ""child'."
"100","Culpable homicide.","299","No change."
"101","Murder.","300","Formal changes, but essence is the same, Secondly, thirdly,, fourthly, are replaced by clauses (a), (b), (c),, (d). The word “it” is replaced by the words ""the act by which death is caused""."
"102","Culpable homicide by causing death of person other than person whose death was intended.","301","No change."
"103 (1)","Punishment for murder.","302","No Change, except IPC section is included as subsection in BNS."
"103 (2)","Punishment for murder.","-","“When a group of five or more persons acting in concert commits murder on the ground of race, caste or community, sex, place of birth, language, personal belief or any other similar ground each member of such group shall be punished with death or with imprisonment for life,, shall also be liable to fine”."
"104","Punishment for murder by life-convict.","303","BNS gives an alternate punishment for the life-convict murderer as death 'or with imprisonment for life, which shall mean the remainder of that person’s natural life', whereas in IPC, only punishment is a death sentence for murder by a life convict."
"105","Punishment for culpable homicide not amounting to murder.","304","Minimum imprisonment for five years is added, fine is made mandatory."
"106 (1)","Causing death by negligence.","304A","IPC section is included as subsection in BNS. Imprisonment is increased, offence by registered medical practitioner, its explanation are added."
"106 (2)","Causing death by negligence.","-","This is a new addition, but it will not come into force from 1st July 2024 with other new laws, it is kept on hold."
"107","Abetment of suicide of child or person of unsound mind.","305","Formal changes but essence is same- 'insane person' is replaced by 'person of unsound mind'."
"108","Abetment of suicide.","306","No change."
"109","Attempt to murder.","307","Under IPC, Section 307 Clause 2 prescribes the death penalty only for an attempt to murder by a life-convict, but alternate punishment is given in Section 109(2) of the BNS, which states that ""be punished with death or with imprisonment for life, which shall mean the remainder of that person’s natural life""."
"110","Attempt to commit culpable homicide.","308","No change."
"111","Organized crime.","-","Newly added section. “Any continuing unlawful activity including kidnapping, robbery, vehicle theft, extortion, land grabbing, contract killing, economic offence, cyber-crimes, trafficking of persons, drugs, weapons or illicit goods or services, human trafficking for prostitution or ransom, by any person or a group of persons acting in concert, singly or jointly, either as a member of an organised crime syndicate or on behalf of such syndicate, by use of violence, threat of violence, intimidation, coercion, or by any other unlawful means to obtain direct or indirect material benefit including a financial benefit, shall constitute organised crime”."
"112","Petty organized crime.","-","Newly added section. “Whoever, being a member of a group or gang, either singly or jointly, commits any act of theft, snatching, cheating, unauthorised selling of tickets, unauthorised betting or gambling, selling of public examination question papers or any other similar criminal act, is said to commit petty organised crime”."
"113","Terrorist act.","-","Newly added section."
"114","Hurt.","319","No change."
"115 (1)","Voluntarily causing hurt.","321","No Change except IPC section is included as subsection in BNS."
"115 (2)","Punishment for voluntarily causing hurt.","323","Section is included as sub-section in BNS sans heading. Fine is increased (which may extend to ten thousand rupees)."
"116","Grievous hurt definition.","320","Suffering threshold period for grievous hurt is reduced from twenty days to fifteen days."
"117 (1)","Voluntarily causing grievous hurt punishment.","322","No change."
"117 (2)","Punishment for voluntarily causing grievous hurt.","325","Formal changes but essence is same."
"117 (3)","Voluntarily causing grievous hurt.","-","New addition. “Whoever commits an offence under sub-section (1), in the course of such commission causes any hurt to a person which causes that person to be in permanent disability or in persistent vegetative state, shall be punished with rigorous imprisonment for a term which shall not be less than ten years but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life”."
"117 (4)","Voluntarily causing grievous hurt.","-","New addition. “When a group of five or more persons acting in concert, causes grievous hurt to a person on the ground of his race, caste or community, sex, place of birth, language, personal belief or any other similar ground, each member of such group shall be guilty of the offence of causing grievous hurt,, shall be punished with imprisonment of either description for a term which may extend to seven years,, shall also be liable to fine”."
"118 (1)","Voluntarily causing hurt or grievous hurt by dangerous weapons or means.","324","IPC section is included as a sub-section in BNS. Fine is increased which may extend to twenty thousand rupees, words “'grievous hurt” are added in heading."
"118 (2)","Voluntarily causing hurt or grievous hurt by dangerous weapons or means.","326","IPC section is included as a sub-section in BNS sans heading. Mandatory minimum imprisonment for one year is added."
"119 (1)","Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act.","327","No change except that the IPC section is included as a sub-section in BNS."
"119 (2)","Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act.","329","IPC section is included as a sub-section in BNS sans heading. The words “any purpose referred to in sub-section (1)” is added."
"120 (1)","Voluntarily causing hurt or grievous hurt to extort confession or to compel restoration of property.","330","IPC section is included as a sub-section in BNS."
"120 (2)","Voluntarily causing grievous hurt to extort confession, or to compel restoration of property.","331","IPC section is included as a sub-section in BNS sans heading. Words “any purpose referred to in sub-section (1)” are added."
"121 (1)","Voluntarily causing hurt to deter public servant from his duty.","332","IPC section is included as a subsection in BNS. Imprisonment is increased from three to five years."
"121 (2)","Voluntarily causing grievous hurt to deter public servant from his duty.","333","IPC section is included as a sub-section in BNS sans heading. Mandatory minimum imprisonment of one year is added."
"122 (1)","Voluntarily causing provocation hurt on.","334","IPC section is included as a subsection in BNS. Fine is increased from five hundred to five thousand rupees"
"122 (2)","Voluntarily causing grievous hurt on provocation.","335","IPC section is included as a sub-section in BNS sans heading. Imprisonment is increased from four to five years, fine is increased from two thousand to ten thousand rupees."
"123","Causing harm by means of poison etc with intent to commit an offence.","328","No change."
"124 (1)","Voluntarily causing grievous hurt by use of acid etc.","326A","The IPC section is included as a subsection in BNS. Words “causes a person to be in a permanent vegetative state"" are added in Section 124(1) of the BNS."
"124 (2)","Voluntarily causing grievous hurt by throwing or attempting to throw acid.","326B","IPC section is included as a sub-section in BNS, sans heading. Words “permanent vegetative state” are added"
"125","Act endangering life or personal safety of others.","336","Fine is increased from rupees two hundred, fifty to two thousand five hundred."
"125 (a)","Where hurt is caused.","337","Fine is increased from five hundred to five thousand rupees."
"125 (b)","Where grievous hurt is caused.","338","Imprisonment is increased from two years to three years, fine is increased from one thousand to ten thousand rupees."
"126 (1)","Wrongful restraint.","339","IPC section is included as a subsection in BNS."
"126 (2)","Punishment for Wrongful restraint.","341","IPC section is included as a sub-section in BNS, sans heading. Fine is increased from five hundred rupees to five thousand rupees."
"127 (1)","Wrongful confinement.","340","IPC section is included as a subsection in BNS."
"127 (2)","Punishment for Wrongful confinement.","342","IPC section is included as a sub-section in BNS sans heading. Fine is increased from one thousand to five thousand rupees."
"127 (3)","Wrongful confinement for three or more days.","343","The IPC section is included as a sub-section in the BNS sans heading. Imprisonment is increased from two years to three years,, the fine is extended up to ten thousand rupees."
"127 (4)","Wrongful confinement for ten or more days.","344","The IPC section is included as a sub-section in the BNS sans heading. Imprisonment is increased from three to five years,, a minimum fine of ten thousand rupees is stipulated."
"127 (5)","Wrongful confinement of person for whose liberation writ has been issued.","345","IPC section is included as a sub-section in BNS sans heading. Fine is added."
"127 (6)","Wrongful confinement in secret.","346","IPC section is included as a sub-section in BNS sans heading. Imprisonment is increased from two to three years, fine is added"
"127 (7)","Wrongful confinement to extort property, or constrain to illegal act.","347","No Change except that IPC section is included as a sub-section in BNS."
"127 (8)","Wrongful confinement to extort confession, or compel restoration of property.","348","IPC section is included as a sub-section in BNS sans heading. No other change."
"128","Force.","349","There is a change in phraseology; also, first, secondly,, thirdly have been replaced with (a), (b),, (c )."
"129","Criminal force.","350","No change."
"130","Assault.","351","No change."
"131","Punishment for assault or criminal force otherwise than on grave provocation.","352","Fine is increased from five hundred to one thousand rupees."
"132","Assault or criminal force to deter public servant from discharge of his duty.","353","No change."
"133","Assault or criminal force with intent to dishonour person, otherwise than on grave provocation.","355","No change."
"134","Assault or criminal force in attempt to commit theft of property carried by a person.","356","No change."
"135","Assault or criminal force in attempt to wrongfully confine a person.","357","Fine is increased from one thousand to five thousand rupees."
"136","Assault or criminal force on grave provocation.","358","Fine is increased from two hundred to one thousand rupees."
"137 (1)","Kidnapping.","359","IPC section is included as a sub-section in BNS."
"137 (1) (a)","Kidnapping from India.","360","No change."
"137 (1) (b)","Kidnapping from lawful guardianship.","361","The IPC section is included as a clause in the BNS. Words “minor under the age of sixteen years of male or under eighteen years of age if a female” are replaced by “child” thus making it gender neutral."
"137 (2)","Punishment for kidnapping.","363","IPC section is included as a sub-section in BNS sans heading."
"138","Abduction.","362","No change."
"139","Kidnapping or maiming a child for purposes of begging.","363A,","The word “minor” is replaced by ""child”. The word ""rigorous"" is added. Imprisonment is extended up to life, i.e., imprisonment for the remainder of that person’s natural life. The clause (b) of sub-section (4) definition is excluded."
"140 (1)","Kidnapping or abducting in order to murder, etc.","364","No Change except that IPC section is included as a sub-section in BNS."
"140 (2)","Kidnapping for ransom, etc.","364A","Section is included as a sub-section in BNS sans heading."
"140 (3)","Kidnapping or abducting with intent secretly, wrongfully to confine person.","365","No change."
"140 (4)","Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc.","367","No change."
"141","Importation of girl or boy from foreign country.","366B","Words “any boy under the age of eighteen years” added, “she” is replaced by “girl or boy”."
"142","Wrongfully concealing or keeping in confinement, kidnapped or abducted person.","368","No change."
"143","Trafficking of person.","370","Word “minor” is replaced by “child”."
"144","Exploitation of a trafficked person.","370A","The upper limit of imprisonment is increased from seven years to ten years,, for sub-section (2), from five years to seven years. “minor” is replaced by “child”."
"145","Habitual dealing in slaves.","371","No change."
"146","Unlawful compulsory labour.","374","No change."
"147","Waging, or attempting to wage war. or abetting waging of war, against the Government of India.","121","No change."
"148","Conspiracy to commit offences punishable by Section 147.","121A","“and beyond” is added."
"149","Collecting arms, etc., with intention of waging war against the Government of India.","122","No change."
"150","Concealing with intent to facilitate design to wage war.","123","No change."
"151","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power.","124","No change."
"152","Act endangering sovereignty, unity, integrity of India.","-","Newly added section. “Whoever, purposely or knowingly, by words, either spoken or written, or by signs, or by visible representation, or by electronic communication or by use of financial mean, or otherwise, excites or attempts to excite, secession or armed rebellion or subversive activities, or encourages feelings of separatist activities or endangers sovereignty or unity, integrity of India; or indulges in or commits any such act shall be punished with imprisonment for life or With imprisonment which may extend to seven years,, shall also be liable to fine.”"
"153","Waging war against Government of any Foreign State at peace with Government of India.","125","Words “any Asiatic power in alliance” are replaced by “Government of any foreign State at peace”."
"154","Committing depredation on territories of Foreign State at peace with Government of India.","126","Words “any power in alliance” are replaced by “any foreign State”."
"155","Receiving property taken by war or depredation mentioned in Sections 153, 154.","127","No change."
"156","Public servant voluntarily allowing prisoner of State or war to escape.","128","No change."
"157","Public servant negligently suffering such prisoner to escape.","129","No change."
"158","Aiding escape of, rescuing or harbouring such prisoner.","130","No change."
"159","Abetting mutiny, attempting to seduce a soldier, sailor or airman from his duty.","131","No change."
"160","Abetment of mutiny, if mutiny is committed in consequence thereof.","132","Upper limit of imprisonment is increased from three years to ten years."
"161","Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office.","133","No change."
"162","Abetment of such assault, if the assault is committed.","134","No change."
"163","Abetment of desertion of soldier, sailor or airman.","135","No change."
"164","Harbouring deserter.","136","Word “wife” is replaced by “spouse” in the exception of this section thereby made gender nuetral."
"165","Deserter concealed on board, of master merchant vessel through negligence.","137","Upper limit of fine is increased from five hundred to three thousand rupees."
"166","Abetment of act of insubordination by soldier, sailor or airman.","138","Upper limit of imprisonment is increased from six months to two years."
"167","Persons subject to certain Acts.","139","No change."
"168","Wearing garb or carrying token used by soldier, sailor or airman.","140","“Military” is replaced by ""Army."" The upper limit of the fine has been increased from five hundred to two thousand rupees."
"169","Candidate, electoral right defined.","171A","No change."
"170","Bribery.","171B","No change."
"171","Undue influence at elections.","171C","No change."
"172","Personation at elections.","171D","No change."
"173","Punishment for bribery.","171E","No change."
"174","Punishment for undue influence or personation at an election.","171F","No change."
"175","False statement in connection with an election.","171G","No change."
"176","Illegal payment in connection with an election.","171H","Upper limit of fine is increased from five hundred to ten thousand rupees."
"177","Failure to keep election accounts.","171-I","Upper limit of fine is increased from five hundred to five thousand rupees."
"178","Counterfeiting coin, Government stamps, currency- notes or bank-notes.","230 to 232, 246 to 249, 255, 489A","Nine sections of IPC have been covered in this single section of BNS. Thus, in a single stroke, the number of sections, offences has been reduced by eight. Illustrations given u/s 230 IPC are excluded."
"179","Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes.","237 to 241, 250, 251, 254, 258, 260, 489B","Eleven sections of IPC have been covered in this single section of BNS. Thus, in a single stroke, the number of section, offences has been reduced by ten."
